Answer: 
( _[]_[]_[]_[]_[]_ , 231 )
( [_[[_[]_[_[_[]_]_]_]_]]_ , 162 )
( [_[[_[[]_][][]_]_]]_ , 17 )
( [_[[_[[]_][_[]_]_]_]]_ , 66 )
( [_[[_[[]_][_[]]_]_]]_ , 22 )
( [_[[_[[]_][[]_]_]_]]_ , 32 )
( [_[[[][][]_[]]_]]_ , 2 )
( [_[[[][]_[]]_]]_ , 19 )
( [_[[[][_[]]_[]]_]]_ , 2 )
( [_[[[][[]_]_[]]_]]_ , 2 )
( [_[[[[]_][]_[]]_]]_ , 12 )
( [_[[[_[]_][]_[]]_]]_ , 16 )
( [_[[[]_[][]]_]]_ , 16 )
( [_[[[]_[]_[]]_]]_ , 54 )
( [_[[[]_[[]_]]_]]_ , 32 )
( [_[[[]_[_[]]]_]]_ , 12 )
( [_[[[_[]]_[][]]_]]_ , 4 )
( [_[[[_[]]_[]_[]]_]]_ , 6 )
( [_[[[_[]]_[[]_]]_]]_ , 8 )
( [_[[[_[]]_[_[]]]_]]_ , 4 )
( [_[[[[]_]_[]]_]]_ , 62 )
( [_[[[_[]_]_[]]_]]_ , 108 )
( [_[[[_[]_[]]_[]]_]]_ , 2 )
( [_[[[[][]]_[]]_]]_ , 4 )
( [_[[[_[_[]]]_[]]_]]_ , 4 )
( [_[[[[][]_]_[]]_]]_ , 4 )
( [_[[[_[]_[]_]_[]]_]]_ , 2 )
( [_[[[_[[]_]]_[]]_]]_ , 2 )
( [_[[[_[_[]]_]_[]]_]]_ , 2 )
( [_[[[]_[_[]_]_[]]_]]_ , 4 )
( [_[[[]_[_[]]_[]]_]]_ , 2 )
( [_[[_[_[][[]_]]]_]]_ , 19 )
( [_[[_[_[_[]]_[]]]_]]_ , 23 )
( [_[[_[_[[]_]_[]]]_]]_ , 31 )
( [_[[_[_[]_[[]_]]]_]]_ , 19 )
( [_[[_[_[_[]_]_[]]]_]]_ , 27 )
( [_[[_[[]_[_[]_]_]]_]]_ , 172 )
( [_[[_[[]_[_[]]_]]_]]_ , 86 )
( [_[[_[[]_[[]_]_]]_]]_ , 71 )
( [_[[_[[]_[]_[]_]]_]]_ , 24 )
( [_[[_[[_[]]_[]_]]_]]_ , 15 )
( [_[[_[[][][]]]_]]_ , 16 )
( [_[[_[[]_[][]]]_]]_ , 17 )
( [_[[_[[]_[_[_[]_]]]]_]]_ , 7 )
( [_[[_[[_[]]_[]]]_]]_ , 11 )
( [_[[_[[]_[]_[]]]_]]_ , 31 )
( [_[[_[[[]_]_[]]]_]]_ , 8 )
( [_[[_[[_[]_]_[]]]_]]_ , 49 )
( [_[[_[_[[][]_]]]_]]_ , 24 )
( [_[[_[_[[]_[]_]]]_]]_ , 25 )
( [_[[_[_[_[]_[]_]]]_]]_ , 85 )
( [_[[_[_[_[_[]_]]]]_]]_ , 65 )
( [_[[_[_[_[_[][]]_]]]_]]_ , 7 )
( [_[[_[[_[][]_]_]]_]]_ , 27 )
( [_[[_[[[_[]]_]_]]_]]_ , 11 )
( [_[[_[[[[]_]_]_]]_]]_ , 16 )
( [_[[_[[[_[]_]_]_]]_]]_ , 15 )
( [_[[_[[_[_[]_]_]_]]_]]_ , 76 )
( [_[[_[[_[][]]_]]_]]_ , 20 )
( [_[[_[[_[]_[]]_]]_]]_ , 10 )
( [_[[_[[[][]_]_]]_]]_ , 10 )
( [_[[_[[[]_[]]_]]_]]_ , 5 )
( [_[[_[_[_[][]_]_]]_]]_ , 37 )
( [_[[_[_[[_[]]_]_]]_]]_ , 43 )
( [_[[_[_[[[]_]_]_]]_]]_ , 53 )
( [_[[_[_[[_[]_]_]_]]_]]_ , 60 )
( [_[[_[_[_[_[]]_]_]]_]]_ , 96 )
( [_[[_[_[_[[]_]_]_]]_]]_ , 56 )
( [_[[_[_[_[_[]_]_]_]]_]]_ , 103 )
( [_[[_[_[_[]_[]]_]]_]]_ , 10 )
( [_[[_[_[[]_[]_]_]]_]]_ , 14 )
( [_[[_[_[[][]_]_]]_]]_ , 20 )
( [_[[_[_[[]_[]]_]]_]]_ , 9 )
( [_[[_[_[_[_[]]]_]]_]]_ , 46 )
( [_[[_[_[_[[]_]]_]]_]]_ , 20 )
( [_[[_[_[_[_[]_]]_]]_]]_ , 82 )
( [_[[_[_[_[][]]_]]_]]_ , 12 )
( [_[[[[_[]][]_]_]_]]_ , 4 )
( [_[[[[]_[][]_]_]_]]_ , 2 )
( [_[[[[]_[_[]]]_]_]]_ , 4 )
( [_[[[[]_[[]_]]_]_]]_ , 2 )
( [_[[[[]_[_[]_]]_]_]]_ , 2 )
( [_[[[_[_[][]_]]_]_]]_ , 6 )
( [_[[[_[[_[]]_]]_]_]]_ , 4 )
( [_[[[_[[[]_]_]]_]_]]_ , 12 )
( [_[[[_[[_[]_]_]]_]_]]_ , 8 )
( [_[[[_[_[_[]_]_]]_]_]]_ , 16 )
( [_[[[[_[_[]]]_]_]_]]_ , 2 )
( [_[[[[_[[]_]]_]_]_]]_ , 6 )
( [_[[[[_[_[]_]]_]_]_]]_ , 6 )
( [_[[[[_[_[]]_]_]_]_]]_ , 2 )
( [_[[[[_[[]_]_]_]_]_]]_ , 2 )
( [_[[[_[]_[]_[]]_]_]]_ , 2 )
( [_[[[_[]_[_[]]]_]_]]_ , 12 )
( [_[[[_[]_[[]_]]_]_]]_ , 2 )
( [_[[[_[]_[_[]_]]_]_]]_ , 10 )
( [_[[[_[_[]]_[]]_]_]]_ , 4 )
( [_[[[[][][]_]_]_]]_ , 4 )
( [_[[[[]_[_[]]_]_]_]]_ , 8 )
( [_[[[[]_[[]_]_]_]_]]_ , 4 )
( [_[[[[]_[_[]_]_]_]_]]_ , 4 )
( [_[[[_[]_[_[]]_]_]_]]_ , 4 )
( [_[[[_[]_[[]_]_]_]_]]_ , 3 )
( [_[[[_[]_[_[]_]_]_]_]]_ , 2 )
( [_[[[_[_[]][]_]_]_]]_ , 2 )
( [_[[[_[]_[][]_]_]_]]_ , 2 )
( [_[[[[][]_[]]_]_]]_ , 4 )
( [_[[[[][_[]]]_]_]]_ , 24 )
( [_[[[[][[]_]]_]_]]_ , 4 )
( [_[[[[][_[]_]]_]_]]_ , 20 )
( [_[[[_[_[][]]]_]_]]_ , 10 )
( [_[[[_[_[]_[]]]_]_]]_ , 4 )
( [_[[[_[[][]_]]_]_]]_ , 2 )
( [_[[[_[[]_[]]]_]_]]_ , 2 )
( [_[[[_[_[_[]]]_]_]_]]_ , 10 )
( [_[[[_[_[[]_]]_]_]_]]_ , 9 )
( [_[[[_[_[_[]_]]_]_]_]]_ , 23 )
( [_[[[_[_[_[]]_]_]_]_]]_ , 20 )
( [_[[[_[_[[]_]_]_]_]_]]_ , 9 )
( [_[[[_[_[][]_]_]_]_]]_ , 4 )
( [_[[[_[[_[]]_]_]_]_]]_ , 16 )
( [_[[[_[[[]_]_]_]_]_]]_ , 11 )
( [_[[[_[[_[]_]_]_]_]_]]_ , 16 )
( [_[[[_[_[_[]_]_]_]_]_]]_ , 15 )
( [_[[_[[_[]][]_]_]_]]_ , 17 )
( [_[[_[[]_[][]_]_]_]]_ , 15 )
( [_[[_[_[]_[]_]_]_]]_ , 603 )
( [_[[_[[]_[_[]]]_]_]]_ , 28 )
( [_[[_[[]_[[]_]]_]_]]_ , 31 )
( [_[[_[[]_[_[]_]]_]_]]_ , 41 )
( [_[[_[_[_[][]_]]_]_]]_ , 67 )
( [_[[_[_[[_[]]_]]_]_]]_ , 51 )
( [_[[_[_[[[]_]_]]_]_]]_ , 63 )
( [_[[_[_[[_[]_]_]]_]_]]_ , 71 )
( [_[[_[_[_[_[]]_]]_]_]]_ , 165 )
( [_[[_[_[_[[]_]_]]_]_]]_ , 109 )
( [_[[_[_[_[_[]_]_]]_]_]]_ , 189 )
( [_[[_[[_[_[]]]_]_]_]]_ , 22 )
( [_[[_[[_[[]_]]_]_]_]]_ , 39 )
( [_[[_[[_[_[]_]]_]_]_]]_ , 78 )
( [_[[_[[_[_[]]_]_]_]_]]_ , 31 )
( [_[[_[[_[[]_]_]_]_]_]]_ , 28 )
( [_[[_[_[_[][]]_]_]_]]_ , 26 )
( [_[[_[_[_[]_[]]]_]_]]_ , 13 )
( [_[[_[_[[]_[]_]]_]_]]_ , 20 )
( [_[[_[_[[][]_]]_]_]]_ , 26 )
( [_[[_[_[[]_[]]]_]_]]_ , 10 )
( [_[[_[_[_[_[]]]]_]_]]_ , 53 )
( [_[[_[_[_[[]_]]]_]_]]_ , 29 )
( [_[[_[_[_[_[]_]]]_]_]]_ , 123 )
( [_[_[_[_[][]_][]]_]]_ , 5 )
( [_[_[_[[_[]]_][]]_]]_ , 6 )
( [_[_[_[[[]_]_][]]_]]_ , 16 )
( [_[_[_[[_[]_]_][]]_]]_ , 16 )
( [_[_[_[_[_[]]_][]]_]]_ , 12 )
( [_[_[_[_[[]_]_][]]_]]_ , 9 )
( [_[_[_[_[_[]_]_][]]_]]_ , 13 )
( [_[_[[]_[_[_[]]]_]_]]_ , 12 )
( [_[_[[]_[_[[]_]]_]_]]_ , 24 )
( [_[_[[]_[_[_[]_]_]_]_]]_ , 24 )
( [_[_[[_[_[]]]_[]_]_]]_ , 8 )
( [_[_[[_[[]_]]_[]_]_]]_ , 15 )
( [_[_[[_[_[]_]]_[]_]_]]_ , 15 )
( [_[_[[_[_[]]_]_[]_]_]]_ , 7 )
( [_[_[[_[[]_]_]_[]_]_]]_ , 6 )
( [_[_[[_[]][_[]]_]_]]_ , 18 )
( [_[_[[_[]][_[]_]_]_]]_ , 17 )
( [_[_[[_[_[]]][]_]_]]_ , 11 )
( [_[_[[_[[]_]][]_]_]]_ , 31 )
( [_[_[[_[_[]_]][]_]_]]_ , 30 )
( [_[_[[_[_[]]_][]_]_]]_ , 13 )
( [_[_[[_[[]_]_][]_]_]]_ , 11 )
( [_[_[[]_[_[[]_]_]_]_]]_ , 30 )
( [_[_[[]_[][_[]]_]_]]_ , 10 )
( [_[_[[]_[][_[]_]_]_]]_ , 5 )
( [_[_[_[][_[]]_]_]]_ , 246 )
( [_[_[[_[]][]_[]]_]]_ , 5 )
( [_[_[[]_[_[]][]]_]]_ , 10 )
( [_[_[[]_[[]_][]]_]]_ , 5 )
( [_[_[[]_[_[]_][]]_]]_ , 5 )
( [_[_[[]_[_[]_[]]]_]]_ , 5 )
( [_[_[[]_[_[][]]]_]]_ , 10 )
( [_[_[[]_[[][]_]]_]]_ , 5 )
( [_[_[[]_[[]_[]]]_]]_ , 5 )
( [_[_[[]_[_[[]_]]]_]]_ , 20 )
( [_[_[[]_[_[_[]]]]_]]_ , 5 )
( [_[_[[]_[[_[]_]_]]_]]_ , 20 )
( [_[_[[]_[[_[]]_]]_]]_ , 5 )
( [_[_[[]_[[[]_]_]]_]]_ , 5 )
( [_[_[[]_[_[_[]_]_]]_]]_ , 10 )
( [_[_[[]_[_[[]_]_]]_]]_ , 15 )
( [_[_[[_[_[]]]_[]]_]]_ , 7 )
( [_[_[[_[[]_]]_[]]_]]_ , 16 )
( [_[_[[_[_[]_]]_[]]_]]_ , 15 )
( [_[_[[_[_[]]_]_[]]_]]_ , 6 )
( [_[_[[_[[]_]_]_[]]_]]_ , 5 )
( [_[_[[]_[][]_[]]_]]_ , 5 )
( [_[_[_[_[_[]_]_[]]]_]]_ , 29 )
( [_[_[_[_[_[]]_[]]]_]]_ , 24 )
( [_[_[_[_[][]_[]]]_]]_ , 7 )
( [_[_[_[_[[]_]_[]]]_]]_ , 27 )
( [_[_[_[[_[]]_[]_]]_]]_ , 8 )
( [_[_[_[[[]_]_[]_]]_]]_ , 21 )
( [_[_[_[[_[]_]_[]_]]_]]_ , 14 )
( [_[_[_[[_[]][]_]]_]]_ , 17 )
( [_[_[_[[[]_][]_]]_]]_ , 42 )
( [_[_[_[[_[]_][]_]]_]]_ , 28 )
( [_[_[_[_[][[]_]_]]_]]_ , 27 )
( [_[_[_[_[_[]_]_[]_]]_]]_ , 21 )
( [_[_[_[_[][_[]_]_]]_]]_ , 9 )
( [_[_[_[_[_[]]_[]_]]_]]_ , 35 )
( [_[_[_[_[[]_]_[]_]]_]]_ , 41 )
( [_[_[_[_[_[]_][]_]]_]]_ , 26 )
( [_[_[_[_[]_[[]_]_]]_]]_ , 9 )
( [_[_[_[[_[]]_[]]]_]]_ , 8 )
( [_[_[_[[[]_]_[]]]_]]_ , 22 )
( [_[_[_[[_[]_]_[]]]_]]_ , 20 )
( [_[_[_[_[_[]_[]]_]]_]]_ , 10 )
( [_[_[_[_[[]_[]_]_]]_]]_ , 28 )
( [_[_[_[_[[][]_]_]]_]]_ , 38 )
( [_[_[_[_[_[][]_]_]]_]]_ , 20 )
( [_[_[_[_[[]_[]]_]]_]]_ , 10 )
( [_[_[_[_[_[_[]]]_]]_]]_ , 80 )
( [_[_[_[_[_[[]_]]_]]_]]_ , 30 )
( [_[_[_[_[[_[]]_]_]]_]]_ , 129 )
( [_[_[_[_[[[]_]_]_]]_]]_ , 51 )
( [_[_[_[_[[_[]_]_]_]]_]]_ , 112 )
( [_[_[_[_[_[_[]]_]_]]_]]_ , 130 )
( [_[_[_[_[_[[]_]_]_]]_]]_ , 47 )
( [_[_[_[_[_[_[]_]_]_]]_]]_ , 104 )
( [_[_[_[_[_[]_[]_]_]]_]]_ , 9 )
( [_[_[_[[_[_[]]]_]]_]]_ , 11 )
( [_[_[_[[_[[]_]]_]]_]]_ , 14 )
( [_[_[[_[]_[]_]_]_]]_ , 191 )
( [_[_[[_[_[][]]_]_]_]]_ , 13 )
( [_[_[[_[_[]_[]]]_]_]]_ , 7 )
( [_[_[[_[[]_[]_]]_]_]]_ , 5 )
( [_[_[[_[[][]_]]_]_]]_ , 11 )
( [_[_[[_[_[][]_]]_]_]]_ , 8 )
( [_[_[[_[[]_[]]]_]_]]_ , 6 )
( [_[_[[_[_[_[]]]]_]_]]_ , 34 )
( [_[_[[_[_[[]_]]]_]_]]_ , 12 )
( [_[_[[_[_[_[]_]]]_]_]]_ , 36 )
( [_[_[[_[[_[]]_]]_]_]]_ , 12 )
( [_[_[[_[[[]_]_]]_]_]]_ , 21 )
( [_[_[[_[[_[]_]_]]_]_]]_ , 14 )
( [_[_[[_[_[_[]]_]]_]_]]_ , 19 )
( [_[_[[_[_[[]_]_]]_]_]]_ , 13 )
( [_[_[[_[_[_[]_]_]]_]_]]_ , 13 )
( [_[_[_[[][[]_]_]_]_]]_ , 12 )
( [_[_[_[_[_[_[]_]]]_]_]]_ , 75 )
( [_[_[_[_[_[_[]]]]_]_]]_ , 30 )
( [_[_[_[_[_[[]_]]]_]_]]_ , 15 )
( [_[_[_[_[_[_[]_]_]]_]_]]_ , 17 )
( [_[_[_[[[][]_]_]_]_]]_ , 12 )
( [_[_[_[[[]_[]_]_]_]_]]_ , 12 )
( [_[_[_[[_[_[]_]]_]_]_]]_ , 75 )
( [_[_[_[[[_[]]_]_]_]_]]_ , 72 )
( [_[_[_[[[[]_]_]_]_]_]]_ , 12 )
( [_[_[_[[[_[]_]_]_]_]_]]_ , 60 )
( [_[_[_[[_[_[]]_]_]_]_]]_ , 25 )
( [_[_[_[[_[[]_]_]_]_]_]]_ , 13 )
( [_[_[_[[_[_[]_]_]_]_]_]]_ , 24 )
( [_[_[_[_[_[_[]_]]_]_]_]]_ , 88 )
( [[_[][]]_]_ , 425 )
( [[_[]_[]]_]_ , 2553 )
( [[_[_[]_]_[]]_]_ , 3080 )
( [[_[_[]_][]]_]_ , 889 )
( [[_[_[]][]]_]_ , 165 )
( [[_[][]_]_]_ , 2298 )
( [[_[]_[]_]_]_ , 11447 )
( [[[][][]]_]_ , 52 )
( [[[]_[]_[]]_]_ , 603 )
( [[[]_[_[]]]_]_ , 362 )
( [[_[_[]]]_]_ , 572 )
( [[_[[_[]]_]]_]_ , 307 )
( [[_[_[[]_]_]]_]_ , 1630 )
( [[_[_[][]]]_]_ , 360 )
( [[_[_[[]_]]]_]_ , 460 )
( [[_[_[_[]_]]]_]_ , 2084 )
( [[_[_[_[]]_]]_]_ , 2006 )
( [[[_[_[]]_]_]_]_ , 168 )
( [[[_[[]_]]_]_]_ , 115 )
( [[[[_[]_]_]_]_]_ , 291 )
( [[[[_[]]_]_]_]_ , 118 )
( [[_[_[_[]]_]_]_]_ , 4804 )
( [[_[[]_]_]_]_ , 2396 )
( [[_[[_[]]_]_]_]_ , 1333 )
( [[_[_[[]_]_]_]_]_ , 3888 )
( [[_[[[]_]_]_]_]_ , 1193 )
( [[[_[]_][]_]_]_ , 1422 )
( [[[_[]][]_]_]_ , 210 )
( [[_[_[]_]_[]_]_]_ , 9699 )
( [[_[_[][]]_]_]_ , 985 )
( [[_[_[[]_]]_]_]_ , 1361 )
( [[_[_[_[]_]]_]_]_ , 5461 )
( [[_[][_[]]]_]_ , 497 )
( [[_[][[]_]]_]_ , 289 )
( [[_[]_[_[]]]_]_ , 1373 )
( [[_[]_[[]_]]_]_ , 1255 )
( [[[][][]_]_]_ , 233 )
( [[[]_[]_[]_]_]_ , 1996 )
( [[[]_[_[]]_]_]_ , 1093 )
( [[_[_[]_][]_]_]_ , 3299 )
( [[_[_[]][]_]_]_ , 635 )
( [[[]_[[]_]]_]_ , 289 )
( [[_[_[]_[]]]_]_ , 1476 )
( [[_[[][]]]_]_ , 38 )
( [[_[_[_[]]]]_]_ , 515 )
( [[_[][][]]_]_ , 230 )
( [[_[][_[]_]]_]_ , 1629 )
( [[_[[]_][]]_]_ , 251 )
( [[_[]_[][]]_]_ , 721 )
( [[_[]_[_[]_]]_]_ , 3943 )
( [[_[_[]]_[]]_]_ , 1131 )
( [[_[[]_]_[]]_]_ , 941 )
( [[_[_[_[]]_]_[]]_]_ , 313 )
( [[[]_[[]_]_]_]_ , 991 )
( [[[]_[_[]_]_]_]_ , 3380 )
( [[[][]_[]_]_]_ , 849 )
( [[[_[]_]_[]_]_]_ , 4116 )
( [[[_[]]_[]_]_]_ , 1118 )
( [[[[]_]_[]_]_]_ , 1132 )
( [[[]_[][]_]_]_ , 718 )
( [[_[][_[]]_]_]_ , 1448 )
( [[_[][[]_]_]_]_ , 939 )
( [[_[][_[]_]_]_]_ , 3498 )
( [[_[]_[_[]_]_]_]_ , 9866 )
( [[_[]_[_[]]_]_]_ , 3882 )
( [[_[]_[[]_]_]_]_ , 3850 )
( [[_[_[]]_[]_]_]_ , 3919 )
( [[_[[]_][]_]_]_ , 1126 )
( [[[][]_[]]_]_ , 186 )
( [[[][]]_]_ , 48 )
( [[[_[]][]]_]_ , 47 )
( [[[_[]_][]]_]_ , 391 )
( [[[_[_[]]_][]]_]_ , 46 )
( [[[_[[]_]][]]_]_ , 21 )
( [[[[]_][]]_]_ , 84 )
( [[[[_[]_]_][]]_]_ , 84 )
( [[[[_[]]_][]]_]_ , 63 )
( [[[]_[][]]_]_ , 220 )
( [[[]_[_[]_]]_]_ , 1481 )
( [[[_[]_]_[]]_]_ , 883 )
( [[[_[]]_[]]_]_ , 230 )
( [[[[]_]_[]]_]_ , 244 )
( [[[]_[_[_[]]]]_]_ , 100 )
( [[[]_[_[[]_]]]_]_ , 112 )
( [[[]_[_[_[]_]]]_]_ , 294 )
( [[[]_[_[_[]]_]]_]_ , 591 )
( [[[]_[_[[]_]_]]_]_ , 474 )
( [[_[_[]_[_[]_]]]_]_ , 676 )
( [[_[_[][]_]]_]_ , 1526 )
( [[_[_[]_[]_]]_]_ , 4895 )
( [[_[_[][_[]]_]]_]_ , 555 )
( [[_[_[][[]_]_]]_]_ , 346 )
( [[_[[[]_]_]]_]_ , 257 )
( [[_[[_[]_]_]]_]_ , 1005 )
( [[_[[[[]_]_]_]]_]_ , 38 )
( [[_[_[_[]_]_]]_]_ , 6086 )
( [[_[_[_[]_[]]_]]_]_ , 402 )
( [[_[_[[][]]_]]_]_ , 76 )
( [[_[_[_[_[]]]_]]_]_ , 524 )
( [[[_[][]]_]_]_ , 43 )
( [[[_[][_[]]]_]_]_ , 9 )
( [[[_[][[]_]]_]_]_ , 9 )
( [[[[]_[]_]_]_]_ , 187 )
( [[[[][]_]_]_]_ , 81 )
( [[[[_[]_]_[]_]_]_]_ , 9 )
( [[[_[][]_]_]_]_ , 99 )
( [[[_[]_[]_]_]_]_ , 152 )
( [[[[]_[]]_]_]_ , 63 )
( [[[[]_[_[]]]_]_]_ , 13 )
( [[[[]_[[]_]]_]_]_ , 11 )
( [[[_[_[]]]_]_]_ , 181 )
( [[[_[_[]_]]_]_]_ , 245 )
( [[[_[_[]_[]]]_]_]_ , 13 )
( [[[_[[][]]]_]_]_ , 18 )
( [[[_[_[_[]]]]_]_]_ , 17 )
( [[[[[]_]_]_]_]_ , 49 )
( [[[[[_[]]_]_]_]_]_ , 9 )
( [[[[_[[]_]_]_]_]_]_ , 20 )
( [[[[_[][]]_]_]_]_ , 9 )
( [[[[_[[]_]]_]_]_]_ , 24 )
( [[[[_[_[]_]]_]_]_]_ , 24 )
( [[[[_[_[]]_]_]_]_]_ , 11 )
( [[[_[[]_]_]_]_]_ , 195 )
( [[[_[[_[]]_]_]_]_]_ , 11 )
( [[[_[_[]_]_]_]_]_ , 288 )
( [[[_[_[[]_]_]_]_]_]_ , 13 )
( [[[_[[[]_]_]_]_]_]_ , 15 )
( [[_[_[]_[]_]_]_]_ , 8873 )
( [[_[_[][]_]_]_]_ , 3601 )
( [[_[_[_[]]]_]_]_ , 1437 )
( [[_[[_[]_]_]_]_]_ , 3843 )
( [[_[[[[]_]_]_]_]_]_ , 115 )
( [[_[_[_[]_]_]_]_]_ , 11543 )
( [[_[_[]_[]]_]_]_ , 3054 )
( [[_[[][]]_]_]_ , 176 )
( [[_[[][]_]_]_]_ , 1000 )
( [[_[][]_[]]_]_ , 593 )
( [[_[][_[][]]]_]_ , 72 )
( [[_[]_[]_[]]_]_ , 1424 )
( [[_[]_[_[][]]]_]_ , 106 )
( [[_[[_[]]_]_[]]_]_ , 112 )
( [[_[_[[]_]_]_[]]_]_ , 296 )
( [[_[[[]_]_]_[]]_]_ , 140 )
( [[_[_[]_]_[]_[]]_]_ , 315 )
( [[_[_[]_]_[_[]]]_]_ , 710 )
( [[_[_[]_]_[[]_]]_]_ , 756 )
( [[_[_[]_]_[_[]_]]_]_ , 1674 )
( [[_[_[][]]_[]]_]_ , 75 )
( [[_[_[[]_]]_[]]_]_ , 176 )
( [[_[_[_[]_]]_[]]_]_ , 263 )
( [[_[_[]_][]_[]]_]_ , 211 )
( [[_[_[]_][_[]]]_]_ , 194 )
( [[_[_[]_][[]_]]_]_ , 106 )
( [[_[_[]_][_[]_]]_]_ , 573 )
( [[_[_[]][]_[]]_]_ , 52 )
( [[_[_[]][_[]]]_]_ , 94 )
( [[_[_[]][[]_]]_]_ , 58 )
( [[_[_[]][_[]_]]_]_ , 242 )
( [[[_[_[]]_]_[]_]_]_ , 384 )
( [[[_[[]_]]_[]_]_]_ , 204 )
( [[[[_[]_]_]_[]_]_]_ , 762 )
( [[[[_[]]_]_[]_]_]_ , 414 )
( [[[][][][]_]_]_ , 82 )
( [[[_[_[]]_][]_]_]_ , 196 )
( [[[_[[]_]][]_]_]_ , 120 )
( [[[[]_][]_]_]_ , 328 )
( [[[[_[]_]_][]_]_]_ , 430 )
( [[[[_[]]_][]_]_]_ , 200 )
( [[[]_[_[]][]_]_]_ , 81 )
( [[[]_[]_[][]_]_]_ , 156 )
( [[[]_[_[_[]]]_]_]_ , 158 )
( [[[]_[_[[]_]]_]_]_ , 161 )
( [[[]_[_[_[]_]]_]_]_ , 449 )
( [[[]_[_[_[]]_]_]_]_ , 749 )
( [[[]_[_[[]_]_]_]_]_ , 534 )
( [[[][]_[_[]]_]_]_ , 258 )
( [[[][]_[[]_]_]_]_ , 311 )
( [[[][]_[_[]_]_]_]_ , 629 )
( [[[][_[]]_]_]_ , 335 )
( [[[][[]_]_]_]_ , 296 )
( [[[][_[]_]_]_]_ , 830 )
( [[[_[]_][_[]]_]_]_ , 399 )
( [[[_[]_][[]_]_]_]_ , 504 )
( [[[_[]_][_[]_]_]_]_ , 1095 )
( [[[_[]][_[]]_]_]_ , 177 )
( [[[_[]][[]_]_]_]_ , 169 )
( [[[_[]][_[]_]_]_]_ , 452 )
( [[[[]_][_[]]_]_]_ , 118 )
( [[[[]_][[]_]_]_]_ , 160 )
( [[[[]_][_[]_]_]_]_ , 314 )
( [[[]_[_[][]_]_]_]_ , 294 )
( [[[]_[[_[]]_]_]_]_ , 194 )
( [[[]_[[[]_]_]_]_]_ , 165 )
( [[[]_[[_[]_]_]_]_]_ , 329 )
( [[[]_[_[_[]_]_]_]_]_ , 1307 )
( [[[]_[]_[_[]]_]_]_ , 328 )
( [[[]_[]_[[]_]_]_]_ , 300 )
( [[[]_[]_[_[]_]_]_]_ , 710 )
( [[_[][]_[]_]_]_ , 1675 )
( [[_[][][]_]_]_ , 766 )
( [[_[[_[]]_][]_]_]_ , 159 )
( [[_[_[[]_]_][]_]_]_ , 351 )
( [[_[_[][]][]_]_]_ , 67 )
( [[_[_[[]_]][]_]_]_ , 189 )
( [[_[_[_[]_]][]_]_]_ , 279 )
( [[_[_[_[]]_][]_]_]_ , 358 )
( [[_[]_[][]_]_]_ , 2106 )
( [[_[]_[]_[]_]_]_ , 3660 )
( [[_[[]_]_[]_]_]_ , 2889 )
( [[_[_[]_]_[][]_]_]_ , 625 )
( [[_[[_[]]_]_[]_]_]_ , 277 )
( [[_[_[[]_]_]_[]_]_]_ , 719 )
( [[_[[[]_]_]_[]_]_]_ , 386 )
( [[_[_[_[]]_]_[]_]_]_ , 709 )
( [[_[_[]_]_[_[]]_]_]_ , 1208 )
( [[_[_[]_]_[[]_]_]_]_ , 1218 )
( [[_[_[]_]_[_[]_]_]_]_ , 2488 )
( [[_[_[]]_[_[]]_]_]_ , 532 )
( [[_[_[]]_[[]_]_]_]_ , 676 )
( [[_[_[]]_[_[]_]_]_]_ , 1288 )
( [[_[_[]][_[]]_]_]_ , 237 )
( [[_[_[]][[]_]_]_]_ , 168 )
( [[_[_[]][_[]_]_]_]_ , 465 )
( [[_[[[]_]_][]_]_]_ , 213 )
( [[_[_[]_][][]_]_]_ , 408 )
( [[_[_[]][][]_]_]_ , 87 )
( [[[][][]_[]]_]_ , 74 )
( [[[][][_[]]]_]_ , 120 )
( [[[][][[]_]]_]_ , 56 )
( [[[][][_[]_]]_]_ , 382 )
( [[[]_[_[][]]]_]_ , 86 )
( [[[_[_[]]_]_[]]_]_ , 85 )
( [[[_[[]_]]_[]]_]_ , 49 )
( [[[[_[]_]_]_[]]_]_ , 176 )
( [[[[_[]]_]_[]]_]_ , 97 )
( [[[]_[]_[]_[]]_]_ , 63 )
( [[[]_[]_[_[]]]_]_ , 198 )
( [[[]_[]_[[]_]]_]_ , 198 )
( [[[]_[]_[_[]_]]_]_ , 498 )
( [[[]_[_[]]_[]]_]_ , 69 )
( [[[]_[_[][]_]]_]_ , 294 )
( [[[]_[[_[]]_]]_]_ , 60 )
( [[[]_[[[]_]_]]_]_ , 34 )
( [[[]_[[_[]_]_]]_]_ , 106 )
( [[[]_[_[_[]_]_]]_]_ , 1459 )
( [[[]_[_[]_[]]]_]_ , 246 )
( [[[]_[[][]_]]_]_ , 80 )
( [[[]_[[]_[]]]_]_ , 48 )
( [[_[_[[]_]_[]]]_]_ , 325 )
( [[_[[]_[]_]]_]_ , 1417 )
( [[_[[_[]]_[]_]]_]_ , 218 )
( [[_[[][]_]]_]_ , 313 )
( [[_[[][_[]]_]]_]_ , 115 )
( [[_[[][[]_]_]]_]_ , 90 )
( [[_[[]_[_[]_]_]]_]_ , 650 )
( [[_[[][][]_]]_]_ , 56 )
( [[_[[[]_][]_]]_]_ , 142 )
( [[_[[_[]_][]_]]_]_ , 218 )
